======================================================================
3-Round + Parallel Analysis (思考模式版本) - Question #3620
======================================================================

Base Thinking Mode: True
Analyst Thinking Mode: True

Title: List of ghost towns in Kansas
Question: which town had the longest span between establishment and disestablishment?
Expected Answer: ['Irving']

----------------------------------------------------------------------
Table:
|     | Town name                        | County                         | Established                           | Disestablished                                     | Current Status                                                                                                                                                                                                                                                               | Remarks                                                                                                                                                                                                                                                             |
|  74 | Colokan                          | Greeley County                 | 1886                                  | 1897                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  75 | Lexington                        | Clark County                   | 1885                                  | 1900                                               | Nothing remains of the townsite except a community building.                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                 |
|  76 | Cash City                        | Clark County                   | 1885                                  | 1895                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  77 | Beersheba                        | Hodgeman County                | 1882                                  | 1886                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Beersheba was established as an experimental Jewish agricultural community.                                                                                                                                                                                         |
|  78 | Ravanna                          | Finney County                  | 1882                                  | Post office closed in 1922                         | Only foundations remain.                                                                                                                                                                                                                                                     | Battled with Eminence for county seat of Garfield County. In 1893, Garfield County was annexed to Finney County and the feud was over.                                                                                                                              |
|  79 | Eminence                         | Finney County                  | 1886                                  | Post office closed in 1943.                        | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Battled with Ravanna for county seat of Garfield County, which ended in 1893 when Garfield County was annexed to Finney County.                                                                                                                                     |
|  80 | Terry                            | Finney County                  | 1885                                  | 1890s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  81 | Hartland                         | Kearny County                  | 1885                                  | 1910s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  82 | Chantilly                        | Kearny County                  | 1887                                  | 1893                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  83 | Coolidge                         | Hamilton County                | 1883                                  | nan                                                | 2008 estimated population of 86.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  84 | Kendall                          | Hamilton County                | 1885                                  | nan                                                | A small population (approx. 50) remains.                                                                                                                                                                                                                                     | nan                                                                                                                                                                                                                                                                 |
|  85 | Trail City                       | Hamilton County                | 1885                                  | 1890s                                              | nan                                                                                                                                                                                                                                                                          | nan                                                                                                                                                                                                                                                                 |
|  86 | Ulysses                          | Grant County                   | 1885                                  | nan                                                | The old Ulysses townsite is currently on private property but the "new" Ulysses site has an estimated population of 5,557 as of 2008.                                                                                                                                        | In 1908, Ulysses moved three miles down the road to a new location in an attempt to not pay back bonds that had become due.                                                                                                                                         |
|  87 | Santa Fe                         | Haskell County                 | 1886                                  | 1918                                               | Nothing remains and a portion of the townsite is on private property.                                                                                                                                                                                                        | nan                                                                                                                                                                                                                                                                 |
|  88 | Fargo Springs                    | Seward County                  | 1885                                  | 1910s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  89 | Springfield                      | Seward County                  | 1885                                  | 1890s                                              | Springfield was located at the intersection of U.S. 83 and U.S. 160 north of Liberal.                                                                                                                                                                                        | nan                                                                                                                                                                                                                                                                 |
|  90 | Palermo                          | Doniphan County                | 1855                                  | Post office closed 1904                            | A small population still remains eight miles southeast of Troy near the Missouri River.                                                                                                                                                                                      | nan                                                                                                                                                                                                                                                                 |
|  91 | Bendena                          | Doniphan County                | 1886                                  | 1890s                                              | A small community remains along K-20.                                                                                                                                                                                                                                        | nan                                                                                                                                                                                                                                                                 |
|  92 | Kickapoo City                    | Leavenworth County             | 1854                                  | Post office closed 1920                            | A small population remains in the area.                                                                                                                                                                                                                                      | nan                                                                                                                                                                                                                                                                 |
|  93 | Bain City                        | Leavenworth County             | 1867                                  | 1964                                               | Bain City was annexed to Leavenworth in 1964.                                                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
|  94 | Quindaro                         | Wyandotte County               | 1850s                                 | 1862                                               | Any remains of Quindaro are now in the city limits of Kansas City in Quindaro Park.                                                                                                                                                                                          | nan                                                                                                                                                                                                                                                                 |
|  95 | Six-Mile House                   | Wyandotte County               | nan                                   | nan                                                | Nothing remains of the site.                                                                                                                                                                                                                                                 | Six-Mile House, so called because of its distance from Wyandotte (Kansas City) on Leavenworth Rd, was the headquarters of the Free-State 'Redlegs' who guarded the border of Kansas from pro-slave incursions.                                                      |
|  96 | Padonia                          | Brown County                   | 1850s                                 | Post office closed in 1933                         | Padonia lies among a cluster of houses and farm fields.                                                                                                                                                                                                                      | Padonia was the site of a bloodless skirmish in the 1850s called the Battle of Padonia.                                                                                                                                                                             |
|  97 | Ash Point                        | Nemaha County                  | 1859                                  | 1870                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  98 | Neuchatel                        | Nemaha County                  | 1857                                  | nan                                                | The cemetery, church, town hall and schoolhouse have all been restored and well-kept.                                                                                                                                                                                        | nan                                                                                                                                                                                                                                                                 |
|  99 | Blaine                           | Pottawatomie County            | 1880s                                 | nan                                                | St. Columbkillane Catholic Church and former Catholic School still stand at the intersection of K-99 and K-116.                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 100 | Louisville                       | Pottawatomie County            | 1857                                  | nan                                                | 2008 estimated population of 207.                                                                                                                                                                                                                                            | nan                                                                                                                                                                                                                                                                 |
| 101 | Afton                            | Marshall County                | 1893                                  | nan                                                | A small cemetery and church mark the townsite.                                                                                                                                                                                                                               | nan                                                                                                                                                                                                                                                                 |
| 102 | Bigelow                          | Marshall County                | 1880s                                 | 1960s                                              | All that remains is the Antioch Cemetery.                                                                                                                                                                                                                                    | Bigelow was demolished during construction of Tuttle Creek Lake.                                                                                                                                                                                                    |
| 103 | Bala                             | Riley County                   | 1870                                  | Post office closed in 1966                         | Fort Riley has now expanded into what was Bala.                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 104 | Monticello                       | Johnson County                 | 1857                                  | Post office closed in 1905                         | The old school house,cemertery,and a few houses from the 1940s remain south of Shawnee Mission Parkway in west Shawnee Shawnee and Lenexa.                                                                                                                                   | nan                                                                                                                                                                                                                                                                 |
| 105 | Paris                            | Linn County                    | 1854                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 106 | Moneka                           | Linn County                    | 1857                                  | 1870s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 107 | Lone Star                        | Douglas County                 | 1870s                                 | Post office closed in 1953                         | A small population remains just south of Clinton Lake near Lone Star Lake.                                                                                                                                                                                                   | A community existed in the area before Lone Star was organized. A post office was formed in 1875 under Bond, then Gideon. The name Lone Star was chosen in the 1890s.                                                                                               |
| 108 | Potwin Place                     | Shawnee County                 | 1869                                  | 1899                                               | The site is well-preserved off of SW 6th Avenue in Topeka and is listed on the National Register of Historic Places.                                                                                                                                                         | Potwin was annexed to Topeka in 1899.                                                                                                                                                                                                                               |
| 109 | Auburndale                       | Shawnee County                 | 1888                                  | 1899                                               | Auburndale is currently a neighborhood in Topeka and is commemorated by Auburndale Park.                                                                                                                                                                                     | nan                                                                                                                                                                                                                                                                 |
| 110 | Willard                          | Shawnee and Wabaunsee Counties | 1860s                                 | 1950s                                              | 2000 estimated population of 86.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 111 | Richland                         | Shawnee County                 | 1872                                  | 1960s                                              | Nothing remains of the townsite except some ruins and the cemetery.                                                                                                                                                                                                          | Richland is notable for being the birthplace of Georgia Neese Clark, the Treasurer of the United States under President Truman from 1949-1953.                                                                                                                      |
| 112 | 110 Mile Creek                   | Osage County                   | 1854                                  | 1870s                                              | Nothing remains of the townsite, it is on private property. A Santa Fe Trail marker marks the general location along U.S. 56.                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
| 113 | Arvonia                          | Osage County                   | 1860s                                 | nan                                                | Some old buildings, ruins and a church still stand in the area.                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 114 | Fostoria                         | Osage County                   | nan                                   | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 115 | Strawn                           | Coffey County                  | 1870s                                 | 1961                                               | "Old" Strawn is now located underneath the John Redmond Reservoir while New Strawn is located along U.S. 75.                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                 |
| 116 | Miller                           | Lyon County                    | 1886                                  | nan                                                | A small population and some abandoned businesses remain in the area.                                                                                                                                                                                                         | nan                                                                                                                                                                                                                                                                 |
| 117 | Dunlap                           | Morris County                  | nan                                   | nan                                                | 2000 estimated population of 81.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 118 | Skiddy                           | Morris County                  | 1869                                  | nan                                                | A small population (approx. 20) remains in the area.                                                                                                                                                                                                                         | nan                                                                                                                                                                                                                                                                 |
| 119 | Freedom Colony                   | Bourbon County                 | 1897                                  | early 1900s                                        | Nothing remains of the townsite.                                                                                                                                                                                                                                             | In 1905, most cabins were burned down. Frank Cotton discovered that the boards on his house were soaked with kerosene. Cotton saved his house but the remaining cabins burned to the ground.                                                                        |
| 120 | Rollin                           | Neosho County                  | 1890                                  | 1921                                               | Nothing remains of the townsite except Delos Johnson's (the town founder) house and a neglected cemetery.                                                                                                                                                                    | nan                                                                                                                                                                                                                                                                 |
| 121 | Cato                             | Crawford County                | 1858                                  | Post office closed in 1905                         | The Cato Historical Preservation Association meets at 6:30 pm on the fourth Tuesday of each month at Arcadia Community Center, Arcadia, Kansas. The old school has been restored. Cato Christian Church is in good repair, but closed. A community reunion is held yearly.\p | nan                                                                                                                                                                                                                                                                 |
| 122 | Farlington                       | Crawford County                | 1870                                  | nan                                                | A small population remains in the area.                                                                                                                                                                                                                                      | Farlington is located just southwest of Crawford State Park on K-7.                                                                                                                                                                                                 |
| 123 | Croweburg                        | Crawford County                | 1907                                  | nan                                                | A small population remains along with some shotgun houses and some building ruins.                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                 |
| 124 | Monmouth                         | Crawford County                | 1857                                  | Post office closed in 1955                         | Very little remains of the townsite.                                                                                                                                                                                                                                         | nan                                                                                                                                                                                                                                                                 |
| 125 | Treece                           | Cherokee County                | early 1900s                           | 2012                                               | 2010 Census population of 138. As of May 2012, only 2 people remain.                                                                                                                                                                                                         | Due to years of mining in the area, the land in and around Treece is unstable and contaminated which had led to the citizens wanting the government to buy their land so that they can move.                                                                        |
| 126 | Le Hunt                          | Montgomery County              | 1905                                  | early 1930s                                        | Some ruins remain east of the Elk City Lake.                                                                                                                                                                                                                                 | The town was fairly bustling thanks to a central cement factory in the center of town being the biggest employer. During the Great Depression, cement sales dropped significantly and went out of business, so the town died                                        |
| 127 | Votaw                            | Montgomery County              | 1881                                  | 1900                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Votaw was an experimental colony founded by African-Americans. After 1900, the population slowly moved elsewhere. The last building burned down in 1915.                                                                                                            |
| 128 | Hewins                           | Chautauqua County              | 1870s                                 | Post office closed in 1966                         | A small population remains.                                                                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 129 | Boston                           | Chautauqua County              | 1871                                  | 1875                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Boston was the county seat of Howard County which was split into Chautauqua and Elk Counties in 1875. Sedan became the new county seat of Chautauqua County.                                                                                                        |
| 130 | Delaware Springs                 | Wilson County                  | 1869                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 131 | Kalida                           | Woodson County                 | 1869                                  | 1883                                               | Currently on property known as the Kalida Farm.                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 132 | Defiance                         | Woodson County                 | 1873                                  | 1878, the post office closed in 1886               | Only a hotel remains that is being used as a residence.                                                                                                                                                                                                                      | nan                                                                                                                                                                                                                                                                 |
| 133 | Reece                            | Greenwood County               | 1870                                  | nan                                                | A small population (approx. 50) still exists.                                                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
| 134 | Smileyberg                       | Butler County                  | 1904                                  | early 1920s                                        | Some structures still remain. A transmission shop is open.                                                                                                                                                                                                                   | nan                                                                                                                                                                                                                                                                 |
| 135 | Rosalia                          | Butler County                  | 1879                                  | nan                                                | A small population (approx. 100) still exists.                                                                                                                                                                                                                               | nan                                                                                                                                                                                                                                                                 |
| 136 | Strawberry                       | Washington County              | 1861                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | A plaque was dedicated in 1990 commemorating Strawberry.                                                                                                                                                                                                            |
| 137 | Salem                            | Jewell County                  | 1871                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 138 | Asherville                       | Mitchell County                | early 1860s                           | nan                                                | A small population still exists.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
